GID_2,GID_0,year,pop_count,lnpop
AGO.9.4_1,AGO,1990,54581,3.99968583684192
AGO.9.5_1,AGO,1990,688387,6.53435117978952
AGO.9.6_1,AGO,1990,85850,4.45260158734348
AGO.9.7_1,AGO,1990,59922,4.09304371648905
AGO.9.8_1,AGO,1990,76394,4.3359041590571
AGO.9.9_1,AGO,1990,70431,4.25463350715148
AGO.9.10_1,AGO,1990,19447,2.96769281652275
AGO.9.11_1,AGO,1990,29610,3.3881121421135
AGO.10.1_1,AGO,1990,21912,3.08703443196078
AGO.10.2_1,AGO,1990,28524,3.35074583816606
AGO.10.3_1,AGO,1990,24836,3.21229421350265
AGO.10.4_1,AGO,1990,17413,2.85721705369725
AGO.10.5_1,AGO,1990,8408,2.12918363357465
AGO.10.6_1,AGO,1990,10405,2.3422864598456
AGO.10.7_1,AGO,1990,11569,2.44832910704675
AGO.10.8_1,AGO,1990,13815,2.62575495837538
AGO.10.9_1,AGO,1990,10383,2.34016985332132
AGO.10.10_1,AGO,1990,104210,4.64640809400434
AGO.10.11_1,AGO,1990,33414,3.50897497383559
AGO.10.12_1,AGO,1990,13602,2.61021684075345
AGO.10.13_1,AGO,1990,23944,3.1757177705504
AGO.11.1_1,AGO,1990,50375,3.91949502026685
AGO.11.2_1,AGO,1990,48892,3.88961378391502
AGO.11.3_1,AGO,1990,13331,2.59009215013154
AGO.11.4_1,AGO,1990,59934,4.09324395677807
AGO.11.5_1,AGO,1990,25616,3.24321715625436
AGO.11.6_1,AGO,1990,7997,2.07906647134975
AGO.11.7_1,AGO,1990,32037,3.46689148485752
AGO.11.8_1,AGO,1990,12661,2.53852640253812
AGO.11.9_1,AGO,1990,115431,4.74867294884841
AGO.12.1_1,AGO,1990,34109,3.52956127908494
AGO.12.2_1,AGO,1990,16228,2.7867381453442
AGO.12.3_1,AGO,1990,8188,2.10266966779904
AGO.12.4_1,AGO,1990,59090,4.07906170535758
AGO.12.5_1,AGO,1990,52307,3.95713020532691
AGO.12.6_1,AGO,1990,5857,1.76763752710765
AGO.12.7_1,AGO,1990,5764,1.75163167813728
AGO.12.8_1,AGO,1990,44118,3.78686786244214
AGO.12.9_1,AGO,1990,15933,2.76839243010837
AGO.13.1_1,AGO,1990,13987,2.63812832679717
AGO.13.2_1,AGO,1990,12254,2.50585241430346
AGO.13.3_1,AGO,1990,16152,2.78204388101054
AGO.13.4_1,AGO,1990,194088,5.26831166446163
AGO.14.1_1,AGO,1990,34903,3.55257278539943
AGO.14.2_1,AGO,1990,41653,3.72937339483043
AGO.14.3_1,AGO,1990,21157,3.05197082000118
AGO.14.4_1,AGO,1990,21021,3.04552193805651
AGO.14.5_1,AGO,1990,10572,2.35820899674204
AGO.14.6_1,AGO,1990,6892,1.93036131866568
AGO.14.7_1,AGO,1990,6552,1.87977034655077
AGO.14.8_1,AGO,1990,24727,3.20789576402504
AGO.14.9_1,AGO,1990,190986,5.25220012693085
AGO.14.10_1,AGO,1990,12984,2.56371783021229
AGO.14.11_1,AGO,1990,15629,2.74912816286006
AGO.14.12_1,AGO,1990,13904,2.63217656852304
AGO.14.13_1,AGO,1990,10442,2.34583613498836
AGO.14.14_1,AGO,1990,10630,2.36368019235386
AGO.15.1_1,AGO,1990,6672,1.89791966505645
AGO.15.2_1,AGO,1990,2166,0.772882148578799
AGO.15.3_1,AGO,1990,1840,0.609765571620894
AGO.15.4_1,AGO,1990,2042,0.713929719742474
AGO.15.5_1,AGO,1990,5612,1.72490716224021
AGO.15.6_1,AGO,1990,1424,0.353469812989784
AGO.15.7_1,AGO,1990,907,-0.0976128288670004
AGO.15.8_1,AGO,1990,4368,1.4743052384426
AGO.15.9_1,AGO,1990,23299,3.1484104411957
AGO.16.1_1,AGO,1990,7689,2.03979073605004
AGO.16.2_1,AGO,1990,6839,1.92264152211596
AGO.16.3_1,AGO,1990,117261,4.76440221955701
AGO.16.4_1,AGO,1990,7609,2.02933175719439
AGO.16.5_1,AGO,1990,4158,1.42503418943582
AGO.17.1_1,AGO,1990,124760,4.8263918917396
AGO.17.2_1,AGO,1990,40027,3.6895542264039
AGO.17.3_1,AGO,1990,77146,4.34569973041387
AGO.17.4_1,AGO,1990,140024,4.94181383648853
AGO.17.5_1,AGO,1990,93068,4.53333040876505
AGO.17.6_1,AGO,1990,152630,5.02801669192703
AGO.17.7_1,AGO,1990,293257,5.68104935766642
AGO.17.8_1,AGO,1990,115485,4.74914065139812
AGO.17.9_1,AGO,1990,98452,4.58956911975944
AGO.17.10_1,AGO,1990,325066,5.78402823863549
AGO.17.11_1,AGO,1990,85178,4.44474318452935
AGO.17.12_1,AGO,1990,310528,5.73827407444148
AGO.17.13_1,AGO,1990,78745,4.36621478362654
AGO.17.14_1,AGO,1990,153624,5.03450805850781
AGO.17.15_1,AGO,1990,149637,5.0082123611635
AGO.17.16_1,AGO,1990,1184668,7.07721784553826
AGO.18.1_1,AGO,1990,8026,2.08268627184472
AGO.18.2_1,AGO,1990,21599,3.07264701732212
AGO.18.3_1,AGO,1990,5521,1.70855900330191
AGO.18.4_1,AGO,1990,2264,0.817133160340936
AGO.18.5_1,AGO,1990,27007,3.29609609166171
AGO.18.6_1,AGO,1990,5378,1.68231655784667
ALB.1.1_1,ALB,1990,149094,5.00457697951229
ALB.1.2_1,ALB,1990,43986,3.7838714014695
ALB.1.3_1,ALB,1990,47773,3.86646062635106
